filename,first_commit,latest_commit,forecast_date,source,indicator,model,diff,retrospective
2024-07-11-agi-are-KIT-simple_nowcast.csv,2024-10-15,2024-10-15,2024-07-11,agi,are,KIT-simple_nowcast,96 days,True
2024-07-18-agi-are-KIT-simple_nowcast.csv,2024-10-15,2024-10-15,2024-07-18,agi,are,KIT-simple_nowcast,89 days,True
2024-07-25-agi-are-KIT-simple_nowcast.csv,2024-10-15,2024-10-15,2024-07-25,agi,are,KIT-simple_nowcast,82 days,True
2024-08-01-agi-are-KIT-simple_nowcast.csv,2024-10-15,2024-10-15,2024-08-01,agi,are,KIT-simple_nowcast,75 days,True
2024-08-08-agi-are-KIT-simple_nowcast.csv,2024-10-15,2024-10-15,2024-08-08,agi,are,KIT-simple_nowcast,68 days,True
2024-08-15-agi-are-KIT-simple_nowcast.csv,2024-10-15,2024-10-15,2024-08-15,agi,are,KIT-simple_nowcast,61 days,True
2024-08-22-agi-are-KIT-simple_nowcast.csv,2024-10-15,2024-10-15,2024-08-22,agi,are,KIT-simple_nowcast,54 days,True
2024-08-29-agi-are-KIT-simple_nowcast.csv,2024-10-15,2024-10-15,2024-08-29,agi,are,KIT-simple_nowcast,47 days,True
2024-09-05-agi-are-KIT-simple_nowcast.csv,2024-10-15,2024-10-15,2024-09-05,agi,are,KIT-simple_nowcast,40 days,True
2024-09-12-agi-are-KIT-simple_nowcast.csv,2024-10-15,2024-10-15,2024-09-12,agi,are,KIT-simple_nowcast,33 days,True
2024-09-19-agi-are-KIT-simple_nowcast.csv,2024-10-15,2024-10-15,2024-09-19,agi,are,KIT-simple_nowcast,26 days,True
2024-09-26-agi-are-KIT-simple_nowcast.csv,2024-10-15,2024-10-15,2024-09-26,agi,are,KIT-simple_nowcast,19 days,True
2024-10-03-agi-are-KIT-simple_nowcast.csv,2024-10-15,2024-10-15,2024-10-03,agi,are,KIT-simple_nowcast,12 days,True
2024-10-10-agi-are-KIT-simple_nowcast.csv,2024-10-15,2024-10-15,2024-10-10,agi,are,KIT-simple_nowcast,5 days,True
2024-10-17-agi-are-KIT-simple_nowcast.csv,2024-10-17,2024-10-17,2024-10-17,agi,are,KIT-simple_nowcast,0 days,False
2024-10-24-agi-are-KIT-simple_nowcast.csv,2024-10-24,2024-10-24,2024-10-24,agi,are,KIT-simple_nowcast,0 days,False
2024-10-31-agi-are-KIT-simple_nowcast.csv,2024-11-01,2024-11-01,2024-10-31,agi,are,KIT-simple_nowcast,1 days,False
2024-11-07-agi-are-KIT-simple_nowcast.csv,2024-11-07,2024-11-07,2024-11-07,agi,are,KIT-simple_nowcast,0 days,False
2024-11-14-agi-are-KIT-simple_nowcast.csv,2024-11-15,2024-11-15,2024-11-14,agi,are,KIT-simple_nowcast,1 days,False
2024-11-21-agi-are-KIT-simple_nowcast.csv,2024-11-21,2024-11-21,2024-11-21,agi,are,KIT-simple_nowcast,0 days,False
2024-11-28-agi-are-KIT-simple_nowcast.csv,2024-11-29,2024-11-29,2024-11-28,agi,are,KIT-simple_nowcast,1 days,False
2024-12-05-agi-are-KIT-simple_nowcast.csv,2024-12-05,2024-12-05,2024-12-05,agi,are,KIT-simple_nowcast,0 days,False
2024-12-12-agi-are-KIT-simple_nowcast.csv,2024-12-13,2024-12-13,2024-12-12,agi,are,KIT-simple_nowcast,1 days,False
2024-12-19-agi-are-KIT-simple_nowcast.csv,2024-12-20,2024-12-20,2024-12-19,agi,are,KIT-simple_nowcast,1 days,False
2025-01-09-agi-are-KIT-simple_nowcast.csv,2025-01-10,2025-01-10,2025-01-09,agi,are,KIT-simple_nowcast,1 days,False
2025-01-16-agi-are-KIT-simple_nowcast.csv,2025-01-17,2025-01-17,2025-01-16,agi,are,KIT-simple_nowcast,1 days,False
2025-01-23-agi-are-KIT-simple_nowcast.csv,2025-01-24,2025-01-24,2025-01-23,agi,are,KIT-simple_nowcast,1 days,False
2025-01-30-agi-are-KIT-simple_nowcast.csv,2025-01-31,2025-01-31,2025-01-30,agi,are,KIT-simple_nowcast,1 days,False
2025-02-06-agi-are-KIT-simple_nowcast.csv,2025-02-07,2025-02-07,2025-02-06,agi,are,KIT-simple_nowcast,1 days,False
2025-02-13-agi-are-KIT-simple_nowcast.csv,2025-02-14,2025-02-14,2025-02-13,agi,are,KIT-simple_nowcast,1 days,False
2025-02-20-agi-are-KIT-simple_nowcast.csv,2025-02-21,2025-02-21,2025-02-20,agi,are,KIT-simple_nowcast,1 days,False
2025-02-27-agi-are-KIT-simple_nowcast.csv,2025-02-28,2025-02-28,2025-02-27,agi,are,KIT-simple_nowcast,1 days,False
2025-03-06-agi-are-KIT-simple_nowcast.csv,2025-03-06,2025-03-06,2025-03-06,agi,are,KIT-simple_nowcast,0 days,False
2025-03-13-agi-are-KIT-simple_nowcast.csv,2025-03-14,2025-03-14,2025-03-13,agi,are,KIT-simple_nowcast,1 days,False
2025-03-20-agi-are-KIT-simple_nowcast.csv,2025-03-20,2025-03-20,2025-03-20,agi,are,KIT-simple_nowcast,0 days,False
2025-03-27-agi-are-KIT-simple_nowcast.csv,2025-03-28,2025-03-28,2025-03-27,agi,are,KIT-simple_nowcast,1 days,False
2024-10-17-agi-are-MPIDS-PS_embedding.csv,2024-10-18,2025-06-10,2024-10-17,agi,are,MPIDS-PS_embedding,236 days,True
2024-10-24-agi-are-MPIDS-PS_embedding.csv,2024-11-05,2025-06-10,2024-10-24,agi,are,MPIDS-PS_embedding,229 days,True
2024-10-31-agi-are-MPIDS-PS_embedding.csv,2024-11-04,2025-06-10,2024-10-31,agi,are,MPIDS-PS_embedding,222 days,True
2024-11-07-agi-are-MPIDS-PS_embedding.csv,2024-11-07,2025-06-10,2024-11-07,agi,are,MPIDS-PS_embedding,215 days,True
2024-11-14-agi-are-MPIDS-PS_embedding.csv,2024-11-14,2025-06-10,2024-11-14,agi,are,MPIDS-PS_embedding,208 days,True
2024-11-21-agi-are-MPIDS-PS_embedding.csv,2024-11-21,2025-06-10,2024-11-21,agi,are,MPIDS-PS_embedding,201 days,True
2024-11-28-agi-are-MPIDS-PS_embedding.csv,2024-11-28,2025-06-10,2024-11-28,agi,are,MPIDS-PS_embedding,194 days,True
2024-12-05-agi-are-MPIDS-PS_embedding.csv,2024-12-05,2025-06-10,2024-12-05,agi,are,MPIDS-PS_embedding,187 days,True
2024-12-12-agi-are-MPIDS-PS_embedding.csv,2024-12-12,2025-06-10,2024-12-12,agi,are,MPIDS-PS_embedding,180 days,True
