model,target_type,forecast_date,target_end_date,location,age_group,pathogen,mean,q0.025,q0.25,q0.5,q0.75,q0.975,retrospective
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE-RP,00+,seasonal_influenza_survstat,1402,1398,1398,1400,1403,1416,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE-SH,00+,seasonal_influenza_survstat,362,320,338,355,379,442,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE-SH,00+,seasonal_influenza_survstat,535,515,521,529,543,588,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE-SH,00+,seasonal_influenza_survstat,1101,1087,1090,1095,1106,1147,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE-SH,00+,seasonal_influenza_survstat,1322,1314,1315,1318,1325,1356,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE-SH,00+,seasonal_influenza_survstat,1115,1112,1112,1113,1116,1133,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE-SL,00+,seasonal_influenza_survstat,234,198,213,227,248,306,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE-SL,00+,seasonal_influenza_survstat,198,173,181,191,208,263,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE-SL,00+,seasonal_influenza_survstat,546,526,531,539,554,604,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE-SL,00+,seasonal_influenza_survstat,457,447,447,450,459,502,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE-SL,00+,seasonal_influenza_survstat,290,287,287,288,290,307,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE-SN,00+,seasonal_influenza_survstat,2089,1811,1969,2072,2190,2459,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE-SN,00+,seasonal_influenza_survstat,2714,2468,2545,2647,2812,3333,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE-SN,00+,seasonal_influenza_survstat,6825,6624,6682,6766,6905,7353,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE-SN,00+,seasonal_influenza_survstat,7948,7849,7877,7918,7987,8214,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE-SN,00+,seasonal_influenza_survstat,5590,5577,5582,5588,5595,5615,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE-ST,00+,seasonal_influenza_survstat,559,521,539,554,574,627,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE-ST,00+,seasonal_influenza_survstat,913,905,907,910,917,939,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE-ST,00+,seasonal_influenza_survstat,2845,2837,2838,2842,2848,2869,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE-ST,00+,seasonal_influenza_survstat,3817,3812,3812,3814,3819,3838,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE-ST,00+,seasonal_influenza_survstat,4116,4114,4114,4114,4117,4130,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE-TH,00+,seasonal_influenza_survstat,882,647,681,770,965,1734,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE-TH,00+,seasonal_influenza_survstat,1039,898,898,899,948,2280,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE-TH,00+,seasonal_influenza_survstat,3142,3028,3028,3039,3128,3895,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE-TH,00+,seasonal_influenza_survstat,5147,5084,5085,5098,5155,5493,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE-TH,00+,seasonal_influenza_survstat,4226,4202,4205,4214,4234,4313,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE,00-04,rsv_infection_survstat,229,153,179,211,260,408,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE,00-04,rsv_infection_survstat,236,190,190,190,206,645,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE,00-04,rsv_infection_survstat,402,365,365,365,378,729,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE,00-04,rsv_infection_survstat,556,534,534,534,542,746,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE,00-04,rsv_infection_survstat,745,742,742,742,745,764,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE,05-14,rsv_infection_survstat,67,38,38,43,68,241,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE,05-14,rsv_infection_survstat,43,25,25,25,31,201,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE,05-14,rsv_infection_survstat,102,87,87,87,92,237,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE,05-14,rsv_infection_survstat,126,119,119,119,122,190,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE,05-14,rsv_infection_survstat,148,148,148,148,148,148,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE,15-34,rsv_infection_survstat,101,85,93,99,107,125,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE,15-34,rsv_infection_survstat,45,39,39,39,43,96,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE,15-34,rsv_infection_survstat,119,114,114,114,116,165,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE,15-34,rsv_infection_survstat,140,138,138,138,139,163,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE,15-34,rsv_infection_survstat,121,121,121,121,121,121,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE,35-59,rsv_infection_survstat,241,184,209,232,263,348,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE,35-59,rsv_infection_survstat,108,86,86,86,94,297,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE,35-59,rsv_infection_survstat,176,160,160,160,166,322,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE,35-59,rsv_infection_survstat,170,162,162,162,165,238,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE,35-59,rsv_infection_survstat,125,124,124,125,125,127,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE,60-79,rsv_infection_survstat,174,145,160,172,186,221,FALSE
