"","model","target_type","forecast_date","target_end_date","location","age_group","pathogen","mean","q0.025","q0.25","q0.5","q0.75","q0.975","retrospective"
"1001","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","15-34","rsv_infection",1,1,1,1,1,3,FALSE
"1009","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","15-34","rsv_infection",0,0,0,0,0,0,FALSE
"1017","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","15-34","rsv_infection",1,1,1,1,1,1,FALSE
"1025","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","15-34","rsv_infection",1,1,1,1,1,1,FALSE
"1033","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","15-34","rsv_infection",1,1,1,1,1,1,FALSE
"1041","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","35-59","rsv_infection",0,0,0,0,0,0,FALSE
"1049","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","35-59","rsv_infection",0,0,0,0,0,0,FALSE
"1057","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","35-59","rsv_infection",1,1,1,1,1,1,FALSE
"1065","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","35-59","rsv_infection",0,0,0,0,0,0,FALSE
"1073","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","35-59","rsv_infection",0,0,0,0,0,0,FALSE
"1081","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","60-79","rsv_infection",0,0,0,0,0,0,FALSE
"1089","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","60-79","rsv_infection",0,0,0,0,0,0,FALSE
"1097","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","60-79","rsv_infection",0,0,0,0,0,0,FALSE
"1105","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","60-79","rsv_infection",2,2,2,2,2,2,FALSE
"1113","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","60-79","rsv_infection",2,2,2,2,2,2,FALSE
"1121","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","80+","rsv_infection",0,0,0,0,0,0,FALSE
"1129","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","80+","rsv_infection",0,0,0,0,0,0,FALSE
"1137","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","80+","rsv_infection",0,0,0,0,0,0,FALSE
"1145","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","80+","rsv_infection",4,4,4,4,4,4,FALSE
"1153","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","80+","rsv_infection",1,1,1,1,1,1,FALSE
"1161","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","00+","rsv_infection",2,1,1,1,2,5,FALSE
"1169","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","00+","rsv_infection",0,0,0,0,0,2,FALSE
"1177","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","00+","rsv_infection",2,2,2,2,2,4,FALSE
"1185","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","00+","rsv_infection",9,9,9,9,9,11,FALSE
"1193","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","00+","rsv_infection",5,5,5,5,5,5,FALSE
"1201","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE-SN","00+","rsv_infection",2,1,1,1,2,5,FALSE
"1209","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE-SN","00+","rsv_infection",0,0,0,0,0,2,FALSE
"1217","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE-SN","00+","rsv_infection",2,2,2,2,2,4,FALSE
"1225","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE-SN","00+","rsv_infection",9,9,9,9,9,11,FALSE
"1233","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE-SN","00+","rsv_infection",5,5,5,5,5,5,FALSE
"1241","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","00-04","pneumococcal_disease",2,2,2,2,2,4,FALSE
"1249","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","00-04","pneumococcal_disease",2,2,2,2,2,2,FALSE
"1257","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","00-04","pneumococcal_disease",0,0,0,0,0,0,FALSE
"1265","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","00-04","pneumococcal_disease",2,2,2,2,2,2,FALSE
"1273","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","00-04","pneumococcal_disease",2,2,2,2,2,2,FALSE
"1281","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","05-14","pneumococcal_disease",3,2,2,3,4,5,FALSE
"1289","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","05-14","pneumococcal_disease",1,1,1,1,1,1,FALSE
"1297","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","05-14","pneumococcal_disease",0,0,0,0,0,0,FALSE
"1305","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","05-14","pneumococcal_disease",0,0,0,0,0,0,FALSE
"1313","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","05-14","pneumococcal_disease",2,2,2,2,2,2,FALSE
"1321","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","15-34","pneumococcal_disease",3,3,3,3,3,4,FALSE
"1329","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","15-34","pneumococcal_disease",1,1,1,1,1,1,FALSE
"1337","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","15-34","pneumococcal_disease",4,4,4,4,4,4,FALSE
"1345","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","15-34","pneumococcal_disease",2,2,2,2,2,2,FALSE
"1353","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","15-34","pneumococcal_disease",6,6,6,6,6,6,FALSE
"1361","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","35-59","pneumococcal_disease",17,11,11,12,17,52,FALSE
"1369","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","35-59","pneumococcal_disease",13,8,8,8,12,44,FALSE
"1377","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","35-59","pneumococcal_disease",18,13,13,13,18,49,FALSE
"1385","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","35-59","pneumococcal_disease",17,12,12,12,17,47,FALSE
"1393","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","35-59","pneumococcal_disease",20,15,15,16,20,47,FALSE
"1401","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","60-79","pneumococcal_disease",39,31,31,33,41,85,FALSE
"1409","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","60-79","pneumococcal_disease",30,25,25,25,29,59,FALSE
"1417","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","60-79","pneumococcal_disease",29,25,25,26,29,53,FALSE
"1425","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","60-79","pneumococcal_disease",31,28,28,29,32,51,FALSE
"1433","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","60-79","pneumococcal_disease",37,34,34,35,38,54,FALSE
"1441","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","80+","pneumococcal_disease",20,10,10,12,21,77,FALSE
"1449","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","80+","pneumococcal_disease",15,7,7,8,14,73,FALSE
"1457","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","80+","pneumococcal_disease",32,23,23,24,31,90,FALSE
"1465","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","80+","pneumococcal_disease",24,16,16,17,23,74,FALSE
"1473","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","80+","pneumococcal_disease",25,18,18,19,24,70,FALSE
"1481","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE","00+","pneumococcal_disease",85,60,60,66,88,219,FALSE
"1489","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE","00+","pneumococcal_disease",62,45,45,47,61,173,FALSE
"1497","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE","00+","pneumococcal_disease",81,65,65,67,81,183,FALSE
"1505","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE","00+","pneumococcal_disease",75,60,60,63,76,161,FALSE
"1513","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE","00+","pneumococcal_disease",92,78,78,82,95,165,FALSE
"1521","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE-BB","00+","pneumococcal_disease",8,4,4,5,9,30,FALSE
"1529","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE-BB","00+","pneumococcal_disease",5,2,2,3,6,21,FALSE
"1537","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE-BB","00+","pneumococcal_disease",8,4,4,5,9,25,FALSE
"1545","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE-BB","00+","pneumococcal_disease",7,3,3,4,8,24,FALSE
"1553","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE-BB","00+","pneumococcal_disease",8,5,5,6,9,22,FALSE
"1561","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE-BE","00+","pneumococcal_disease",1,1,1,1,1,2,FALSE
"1569","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE-BE","00+","pneumococcal_disease",2,2,2,2,2,3,FALSE
"1577","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE-BE","00+","pneumococcal_disease",4,4,4,4,4,4,FALSE
"1585","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE-BE","00+","pneumococcal_disease",7,7,7,7,7,7,FALSE
"1593","KIT-simple_nowcast","inc case","2022-06-05","2022-05-08","DE-BE","00+","pneumococcal_disease",4,4,4,4,4,4,FALSE
"1601","KIT-simple_nowcast","inc case","2022-06-05","2022-06-05","DE-BW","00+","pneumococcal_disease",11,10,10,10,11,23,FALSE
"1609","KIT-simple_nowcast","inc case","2022-06-05","2022-05-29","DE-BW","00+","pneumococcal_disease",2,2,2,2,2,2,FALSE
"1617","KIT-simple_nowcast","inc case","2022-06-05","2022-05-22","DE-BW","00+","pneumococcal_disease",7,7,7,7,7,7,FALSE
"1625","KIT-simple_nowcast","inc case","2022-06-05","2022-05-15","DE-BW","00+","pneumococcal_disease",5,5,5,5,5,5,FALSE
