location,age_group,year,week,date,value
DE-HE,00+,2024,33,2024-08-18,1
DE-HE,00+,2024,34,2024-08-25,2
DE-HE,00+,2024,35,2024-09-01,3
DE-HE,00+,2024,36,2024-09-08,2
DE-HE,00+,2024,37,2024-09-15,0
DE-HE,00+,2024,38,2024-09-22,0
DE-HE,00+,2024,39,2024-09-29,0
DE-HE,00+,2024,40,2024-10-06,0
DE-HE,00+,2024,41,2024-10-13,2
DE-HE,00+,2024,42,2024-10-20,2
DE-HE,00+,2024,43,2024-10-27,1
DE-HE,00+,2024,44,2024-11-03,8
DE-HE,00+,2024,45,2024-11-10,3
DE-HE,00+,2024,46,2024-11-17,14
DE-HE,00+,2024,47,2024-11-24,14
DE-HE,00+,2024,48,2024-12-01,29
DE-HE,00+,2024,49,2024-12-08,33
DE-HE,00+,2024,50,2024-12-15,59
DE-HE,00+,2024,51,2024-12-22,93
DE-HE,00+,2024,52,2024-12-29,0
DE-MV,00+,2024,21,2024-05-26,1
DE-MV,00+,2024,22,2024-06-02,2
DE-MV,00+,2024,23,2024-06-09,1
DE-MV,00+,2024,24,2024-06-16,1
DE-MV,00+,2024,25,2024-06-23,0
DE-MV,00+,2024,26,2024-06-30,1
DE-MV,00+,2024,27,2024-07-07,0
DE-MV,00+,2024,28,2024-07-14,0
DE-MV,00+,2024,29,2024-07-21,2
DE-MV,00+,2024,30,2024-07-28,0
DE-MV,00+,2024,31,2024-08-04,0
DE-MV,00+,2024,32,2024-08-11,2
DE-MV,00+,2024,33,2024-08-18,0
DE-MV,00+,2024,34,2024-08-25,0
DE-MV,00+,2024,35,2024-09-01,0
DE-MV,00+,2024,36,2024-09-08,0
DE-MV,00+,2024,37,2024-09-15,0
DE-MV,00+,2024,38,2024-09-22,0
DE-MV,00+,2024,39,2024-09-29,2
DE-MV,00+,2024,40,2024-10-06,1
DE-MV,00+,2024,41,2024-10-13,0
DE-MV,00+,2024,42,2024-10-20,0
DE-MV,00+,2024,43,2024-10-27,0
DE-MV,00+,2024,44,2024-11-03,0
DE-MV,00+,2024,45,2024-11-10,0
DE-MV,00+,2024,46,2024-11-17,2
DE-MV,00+,2024,47,2024-11-24,0
DE-MV,00+,2024,48,2024-12-01,2
DE-MV,00+,2024,49,2024-12-08,7
DE-MV,00+,2024,50,2024-12-15,12
DE-MV,00+,2024,51,2024-12-22,13
DE-MV,00+,2024,52,2024-12-29,0
DE-NI-HB,00+,2024,21,2024-05-26,4
DE-NI-HB,00+,2024,22,2024-06-02,4
DE-NI-HB,00+,2024,23,2024-06-09,1
DE-NI-HB,00+,2024,24,2024-06-16,3
DE-NI-HB,00+,2024,25,2024-06-23,1
DE-NI-HB,00+,2024,26,2024-06-30,1
